CODIGO_CLIENTE,DIA_VENCIMENTO_FATURA,ESTADO_CIVIL,DATA_NASCIMENTO,DATA_ATIVACAO_LINHA,MEDIA_FATURA,VALOR_PLANO,SEXO,IDADE,FAIXA_ETARIA,TEMPO_RELACIONAMENTO_MESES,FAIXA_RELACIONAMENTO,REGIAO,UF,QUANTIDADE_LIGACAO,STATUS_VENDA
1155952464,6,NAO INFORMADO,1995-02-24,2018-05-26,64.99,64.99,M,24,1. 18 - 24,11,3. De 7 à 12 meses,NORTE,AM,1,1
1153943435,17,NAO INFORMADO,1981-08-12,2018-05-09,49.99,49.99,M,37,3. 30 - 39,11,3. De 7 à 12 meses,NORTE,RO,16,0
1154275581,21,NAO INFORMADO,1984-04-01,2018-05-11,49.99,49.99,F,35,3. 30 - 39,11,3. De 7 à 12 meses,NORTE,PA,3,1
1148922096,6,NAO INFORMADO,1987-05-20,2018-03-29,49.99,49.99,M,31,3. 30 - 39,13,3. De 7 à 12 meses,SUDESTE,MG,26,1
1157290550,26,NAO INFORMADO,1979-03-04,2018-06-08,35.99,35.99,F,40,4. 40 - 49,10,3. De 7 à 12 meses,NORTE,PA,34,1
1151611640,6,NAO INFORMADO,1991-04-22,2018-04-21,64.99,64.99,M,27,2. 25 - 29,12,3. De 7 à 12 meses,NORTE,AM,3,1
1153947960,6,NAO INFORMADO,1996-07-15,2018-05-09,64.99,64.99,M,22,1. 18 - 24,11,3. De 7 à 12 meses,NORDESTE,MA,36,0
1147561599,6,NAO INFORMADO,1985-01-19,2018-03-16,49.99,49.99,M,34,3. 30 - 39,13,3. De 7 à 12 meses,SUDESTE,MG,22,1
1148672893,17,NAO INFORMADO,1990-07-22,2018-03-27,35.99,35.99,M,28,2. 25 - 29,13,3. De 7 à 12 meses,NORDESTE,BA,31,0
1153432023,21,NAO INFORMADO,1973-02-16,2018-05-07,49.99,49.99,F,46,4. 40 - 49,11,3. De 7 à 12 meses,NORTE,AM,29,1
1150458782,17,NAO INFORMADO,1973-11-18,2018-04-11,49.99,49.99,M,45,4. 40 - 49,12,3. De 7 à 12 meses,NORTE,RR,32,0
1155608268,6,NAO INFORMADO,1979-07-27,2018-05-23,35.99,35.99,F,39,4. 40 - 49,11,3. De 7 à 12 meses,NORTE,RR,3,1
1158948779,26,NAO INFORMADO,1963-06-19,2018-06-22,59.99,59.99,F,55,5. 50 - 59,10,3. De 7 à 12 meses,NORTE,PA,38,0
1155192300,1,NAO INFORMADO,1991-06-14,2018-05-19,64.99,64.99,M,27,2. 25 - 29,11,3. De 7 à 12 meses,CENTRO_OESTE,GO,5,1
1155352257,17,NAO INFORMADO,1961-01-04,2018-05-21,35.99,35.99,M,58,5. 50 - 59,11,3. De 7 à 12 meses,NORTE,PA,1,1
1147459765,26,NAO INFORMADO,1985-04-04,2018-03-15,49.99,49.99,M,34,3. 30 - 39,13,3. De 7 à 12 meses,CENTRO_OESTE,MT,3,1
1153940700,17,NAO INFORMADO,1964-06-22,2018-05-09,46.99,46.99,M,54,5. 50 - 59,11,3. De 7 à 12 meses,NORDESTE,MA,11,0
1153049692,1,NAO INFORMADO,1970-11-28,2018-05-03,35.99,35.99,F,48,4. 40 - 49,11,3. De 7 à 12 meses,NORTE,AP,7,0
1147737766,17,NAO INFORMADO,1979-10-19,2018-03-19,49.99,49.99,M,39,4. 40 - 49,13,3. De 7 à 12 meses,NORDESTE,BA,9,0
1148069113,26,NAO INFORMADO,1966-11-22,2018-03-21,49.99,49.99,F,52,5. 50 - 59,13,3. De 7 à 12 meses,SUDESTE,MG,2,1
1155751352,6,NAO INFORMADO,1986-10-21,2018-05-24,49.99,49.99,M,32,3. 30 - 39,11,3. De 7 à 12 meses,NORTE,PA,42,0
1148679805,1,NAO INFORMADO,1980-11-25,2018-03-27,35.99,35.99,M,38,3. 30 - 39,13,3. De 7 à 12 meses,NORTE,PA,31,0
1148146719,6,NAO INFORMADO,1998-05-09,2018-03-22,64.99,64.99,M,20,1. 18 - 24,13,3. De 7 à 12 meses,CENTRO_OESTE,GO,8,1
1148137094,6,NAO INFORMADO,1992-11-30,2018-03-22,49.99,49.99,M,26,2. 25 - 29,13,3. De 7 à 12 meses,SUDESTE,MG,32,0
1164020657,6,NAO INFORMADO,2000-05-24,2018-08-02,49.99,49.99,F,18,1. 18 - 24,8,3. De 7 à 12 meses,NORTE,AM,7,1
1147851895,21,NAO INFORMADO,1968-06-06,2018-03-19,46.99,46.99,F,50,5. 50 - 59,13,3. De 7 à 12 meses,NORTE,AM,34,0
1147736976,17,NAO INFORMADO,1995-10-02,2018-03-19,49.99,49.99,M,23,1. 18 - 24,13,3. De 7 à 12 meses,NORDESTE,SE,52,0
1148631244,1,NAO INFORMADO,1963-04-30,2018-03-26,64.99,64.99,M,55,5. 50 - 59,13,3. De 7 à 12 meses,NORDESTE,SE,7,1
1147755344,21,NAO INFORMADO,1968-01-24,2018-03-19,35.99,35.99,M,51,5. 50 - 59,13,3. De 7 à 12 meses,SUDESTE,RJ,27,0
1155191736,26,NAO INFORMADO,1998-02-16,2018-05-19,35.99,35.99,M,21,1. 18 - 24,11,3. De 7 à 12 meses,NORTE,PA,6,1
1151004432,26,NAO INFORMADO,1980-07-20,2018-04-16,49.99,49.99,M,38,3. 30 - 39,12,3. De 7 à 12 meses,NORTE,AM,25,0
1158436798,1,NAO INFORMADO,1975-11-20,2018-06-18,49.99,49.99,M,43,4. 40 - 49,10,3. De 7 à 12 meses,NORTE,AM,22,1
1148791004,1,NAO INFORMADO,1974-01-19,2018-03-28,49.99,49.99,F,45,4. 40 - 49,13,3. De 7 à 12 meses,NORDESTE,BA,23,0
1148672839,1,NAO INFORMADO,1962-05-09,2018-03-27,64.99,64.99,M,56,5. 50 - 59,13,3. De 7 à 12 meses,NORDESTE,SE,9,0
1148361999,21,NAO INFORMADO,1970-10-23,2018-03-23,49.99,49.99,F,48,4. 40 - 49,13,3. De 7 à 12 meses,SUDESTE,SP,9,1
1158187598,21,NAO INFORMADO,1960-11-22,2018-06-15,34.99,34.99,M,58,5. 50 - 59,10,3. De 7 à 12 meses,NORTE,AM,13,1
1151010133,6,NAO INFORMADO,1978-10-19,2018-04-16,49.99,49.99,F,40,4. 40 - 49,12,3. De 7 à 12 meses,CENTRO_OESTE,MT,18,1
1147436131,1,NAO INFORMADO,1979-01-19,2018-03-15,49.99,49.99,M,40,4. 40 - 49,13,3. De 7 à 12 meses,SUDESTE,MG,15,1
1153432135,17,NAO INFORMADO,1996-12-03,2018-05-07,49.99,49.99,M,22,1. 18 - 24,11,3. De 7 à 12 meses,NORDESTE,CE,10,0
1152492329,1,NAO INFORMADO,1992-09-02,2018-04-28,49.99,49.99,M,26,2. 25 - 29,12,3. De 7 à 12 meses,NORTE,PA,29,0
1159042833,26,NAO INFORMADO,1963-03-12,2018-06-23,34.99,34.99,M,56,5. 50 - 59,10,3. De 7 à 12 meses,NORDESTE,MA,2,1
1149021588,26,NAO INFORMADO,1989-12-06,2018-03-29,35.99,35.99,M,29,3. 30 - 39,13,3. De 7 à 12 meses,NORTE,PA,34,0
1152236599,6,NAO INFORMADO,1989-10-07,2018-04-26,35.99,35.99,M,29,3. 30 - 39,12,3. De 7 à 12 meses,NORDESTE,PB,11,1
1147560602,17,NAO INFORMADO,1961-05-02,2018-03-16,49.99,49.99,M,57,5. 50 - 59,13,3. De 7 à 12 meses,SUDESTE,MG,41,0
1151610731,21,NAO INFORMADO,1986-05-01,2018-04-21,35.99,35.99,M,32,3. 30 - 39,12,3. De 7 à 12 meses,NORTE,PA,16,0
1148120127,26,NAO INFORMADO,1965-02-02,2018-03-22,49.99,49.99,F,54,5. 50 - 59,13,3. De 7 à 12 meses,SUDESTE,RJ,3,1
1152602464,26,NAO INFORMADO,1982-04-29,2018-04-30,35.99,35.99,M,36,3. 30 - 39,12,3. De 7 à 12 meses,CENTRO_OESTE,MT,32,0
1154979038,1,NAO INFORMADO,1969-12-25,2018-05-17,59.99,59.99,M,49,5. 50 - 59,11,3. De 7 à 12 meses,NORTE,RR,2,0
1148068991,17,NAO INFORMADO,1970-04-26,2018-03-21,49.99,49.99,F,48,4. 40 - 49,13,3. De 7 à 12 meses,SUDESTE,MG,2,1
1148644628,26,NAO INFORMADO,1977-02-28,2018-03-26,46.99,46.99,M,42,4. 40 - 49,13,3. De 7 à 12 meses,NORDESTE,PE,33,0
1148471260,26,NAO INFORMADO,1953-07-28,2018-03-24,35.99,35.99,M,65,6. 60 - 69,13,3. De 7 à 12 meses,CENTRO_OESTE,DF,22,1
1148637302,17,NAO INFORMADO,1986-01-25,2018-03-26,64.99,64.99,M,33,3. 30 - 39,13,3. De 7 à 12 meses,NORTE,PA,36,1
1148867889,26,NAO INFORMADO,1972-07-09,2018-03-28,49.99,49.99,F,46,4. 40 - 49,13,3. De 7 à 12 meses,CENTRO_OESTE,MT,12,1
1148578801,21,NAO INFORMADO,1984-11-30,2018-03-26,49.99,49.99,M,34,3. 30 - 39,13,3. De 7 à 12 meses,SUL,PR,25,0
1169033357,6,NAO INFORMADO,1959-08-15,2018-09-11,49.99,49.99,M,59,6. 60 - 69,7,2. De 4 à 6 meses,NORDESTE,MA,5,1
1148786529,6,NAO INFORMADO,1976-04-15,2018-03-28,35.99,35.99,M,42,4. 40 - 49,13,3. De 7 à 12 meses,SUDESTE,RJ,20,1
1159635289,17,NAO INFORMADO,1958-04-13,2018-06-28,34.99,34.99,M,61,6. 60 - 69,10,3. De 7 à 12 meses,NORTE,AP,5,0
1148087756,17,NAO INFORMADO,1969-11-29,2018-03-21,35.99,35.99,M,49,5. 50 - 59,13,3. De 7 à 12 meses,CENTRO_OESTE,MT,27,1
1154391467,26,NAO INFORMADO,1975-10-11,2018-05-12,35.99,35.99,M,43,4. 40 - 49,11,3. De 7 à 12 meses,NORTE,PA,9,1
1152923981,26,NAO INFORMADO,1980-12-06,2018-05-02,64.99,64.99,M,38,3. 30 - 39,11,3. De 7 à 12 meses,CENTRO_OESTE,MT,6,1
1147978350,10,NAO INFORMADO,1956-02-05,2018-03-20,49.99,49.99,M,63,6. 60 - 69,13,3. De 7 à 12 meses,NORDESTE,AL,34,0
